entity_term,entity_name
"Unspecified abnormality of labor, with delivery",adverse
Unspecified abnormality of labour,adverse
Labour abnormal,adverse
"Unspecified abnormality of labour, antepartum",adverse
"Unspecified abnormality of labour, with delivery",adverse
Abnormal labour affecting foetus,adverse
Abnormal labor affecting fetus,adverse
Abnormal loss of weight,adverse
Unintentional weight loss,adverse
Abnormal palmar/plantar creases,adverse
Abnormal single palmar crease,adverse
Simian crease,adverse
Abnormal sensation in eye,adverse
Blear eye feeling,adverse
Cold feeling in eye,adverse
Dry eye sensation,adverse
Dry-eye feeling,adverse
Eye strange sensation of,adverse
Eyes cold feeling of,adverse
Eyes dry feeling of,adverse
Eyes feel sticky,adverse
Sticky feeling in eyes,adverse
Warmness in eyes,adverse
Sticky eye sensation,adverse
Abnormal weight gain,adverse
ABO haemolytic disease of newborn,adverse
ABO hemolytic disease of newborn,adverse
ABO incompatibility,adverse
"ABO incompatibility reaction, not elsewhere classified",adverse
ABO isoimmunization,adverse
ABO isoimmunisation,adverse
Abortion,adverse
Abortion complete incomplete missed etc,adverse
Abortion NOS,adverse
Unspecified abortion,adverse
Unspecified abortion without mention of complication,adverse
Abortion complete incomplete missed etc.,adverse
Abortion complete complicated,adverse
"Unspecified abortion, complete, complicated by embolism",adverse
"Unspecified abortion, complete, complicated by metabolic disorder",adverse
"Unspecified abortion, complete, complicated by renal failure",adverse
"Unspecified abortion, complete, complicated by shock",adverse
"Unspecified abortion, complete, with other specified complications",adverse
"Unspecified abortion, complete, with unspecified complication",adverse
Abortion incomplete,adverse
Abortion incomplete NOS,adverse
Incomplete abortion,adverse
"Unspecified abortion, incomplete, without mention of complication",adverse
Abortion incomplete complicated,adverse
"Unspecified abortion, incomplete, complicated by embolism",adverse
"Unspecified abortion, incomplete, complicated by metabolic disorder",adverse
"Unspecified abortion, incomplete, complicated by renal failure",adverse
"Unspecified abortion, incomplete, complicated by shock",adverse
"Unspecified abortion, incomplete, with other specified complications",adverse
"Unspecified abortion, incomplete, with unspecified complication",adverse
Abortion induced complete complicated,adverse
"Illegally induced abortion, complete, complicated by embolism",adverse
"Illegally induced abortion, complete, complicated by shock",adverse
"Illegally induced abortion, complete, with unspecified complication",adverse
"Legally induced abortion, complete, complicated by embolism",adverse
"Legally induced abortion, complete, complicated by shock",adverse
"Legally induced abortion, complete, with unspecified complication",adverse
Abortion induced complicated,adverse
Illegally induced abortion complicated by embolism,adverse
Illegally induced abortion complicated by metabolic disorder,adverse
Illegally induced abortion complicated by renal failure,adverse
Illegally induced abortion complicated by shock,adverse
Illegally induced abortion with other specified complications,adverse
Illegally induced abortion with unspecified complication,adverse
"Illegally induced abortion, unspecified, complicated by embolism",adverse
"Illegally induced abortion, unspecified, complicated by shock",adverse
"Illegally induced abortion, unspecified, with unspecified complication",adverse
Legally induced abortion complicated by embolism,adverse
Legally induced abortion complicated by metabolic disorder,adverse
Legally induced abortion complicated by renal failure,adverse
Legally induced abortion complicated by shock,adverse
Legally induced abortion with other specified complications,adverse
Legally induced abortion with unspecified complication,adverse
"Legally induced abortion, unspecified, complicated by embolism",adverse
"Legally induced abortion, unspecified, complicated by shock",adverse
"Legally induced abortion, unspecified, with unspecified complication",adverse
Abortion induced incomplete complicated,adverse
"Illegally induced abortion, incomplete, complicated by embolism",adverse
"Illegally induced abortion, incomplete, complicated by shock",adverse
"Illegally induced abortion, incomplete, with unspecified complication",adverse
"Legally induced abortion, incomplete, complicated by embolism",adverse
"Legally induced abortion, incomplete, complicated by shock",adverse
"Legally induced abortion, incomplete, with unspecified complication",adverse
Abortion infected,adverse
Abortion infective,adverse
Infected abortion,adverse
Infected abortion (spontaneous),adverse
Septic abortion,adverse
Abortion missed,adverse
Masceration,adverse
Missed abortion,adverse
Papyraceous fetus,adverse
"Papyraceous fetus, antepartum",adverse
Papyraceous foetus,adverse
"Papyraceous foetus, antepartum",adverse
Abortion spontaneous,adverse
Abortion spontaneous NOS,adverse
Miscarriage,adverse
Miscarriage of pregnancy,adverse
Spontaneous abortion,adverse
Spontaneous abortion without mention of complication,adverse
"Spontaneous abortion, unspecified, without mention of complication",adverse
Early miscarriage,adverse
Late miscarriage,adverse
Abortion spontaneous complete complicated,adverse
"Spontaneous abortion, complete, complicated by embolism",adverse
"Spontaneous abortion, complete, complicated by renal failure",adverse
"Spontaneous abortion, complete, complicated by shock",adverse
"Spontaneous abortion, complete, with other specified complications",adverse
"Spontaneous abortion, complete, with unspecified complication",adverse
Abortion spontaneous complicated,adverse
Spontaneous abortion complicated by embolism,adverse
Spontaneous abortion complicated by metabolic disorder,adverse
Spontaneous abortion complicated by renal failure,adverse
Spontaneous abortion complicated by shock,adverse
Spontaneous abortion with other specified complications,adverse
Spontaneous abortion with unspecified complication,adverse
"Spontaneous abortion, complete, without mention of complication",adverse
"Spontaneous abortion, incomplete, without mention of complication",adverse
"Spontaneous abortion, unspecified, complicated by embolism",adverse
"Spontaneous abortion, unspecified, complicated by metabolic disorder",adverse
"Spontaneous abortion, unspecified, complicated by renal failure",adverse
"Spontaneous abortion, unspecified, complicated by shock",adverse
"Spontaneous abortion, unspecified, with other specified complications",adverse
"Spontaneous abortion, unspecified, with unspecified complication",adverse
Abortion spontaneous incomplete complicated,adverse
"Spontaneous abortion, incomplete, complicated by embolism",adverse
"Spontaneous abortion, incomplete, complicated by renal failure",adverse
"Spontaneous abortion, incomplete, complicated by shock",adverse
"Spontaneous abortion, incomplete, with other specified complications",adverse
"Spontaneous abortion, incomplete, with unspecified complication",adverse
Abortion threatened,adverse
Threatened abortion,adverse
"Threatened abortion, antepartum",adverse
"Threatened abortion, delivered",adverse
Abscess,adverse
Abscess NOS,adverse
Haematapostema,adverse
Hematapostema,adverse
Abscess discharge,adverse
Abscess bacterial,adverse
Abscess bacterial NOS,adverse
Abscess intestinal,adverse
Abscess of intestine,adverse
Intestinal crypt abscess,adverse
Abscess of external auditory meatus,adverse
Boil in the outer ear canal,adverse
Boil of external auditory meatus,adverse
Abscess of eyelid,adverse
Eyelid abscess NOS,adverse
Abscess of salivary gland,adverse
Salivary gland abscess NOS,adverse
Abscess oral,adverse
Mouth abscess,adverse
Abscess sterile,adverse
Abscess apocrine gland,adverse
Abscess sweat gland,adverse
Acalculia,adverse
Acanthosis,adverse
Acanthosis nigricans,adverse
Acquired acanthosis nigricans,adverse
Acariasis,adverse
Acariasis NOS,adverse
"Acariasis, other",adverse
"Acariasis, unspecified",adverse
Other acariasis,adverse
Accelerated hypertension,adverse
Accessory auricle,adverse
Auricle accessory,adverse
Preauricular skin tag,adverse
Accessory carpal bone,adverse
Accessory carpal bones,adverse
Accessory muscle,adverse
Accessory salivary gland,adverse
Accident,adverse
Accident at school,adverse
Accident NOS,adverse
Aircraft accident,adverse
Riding accident,adverse
Railroad related accident,adverse
Watercraft accident,adverse
Explosive material accident,adverse
Machinery accident,adverse
Fire accident,adverse
Sports accident,adverse
Skiing accident,adverse
Accident at home,adverse
Accident household,adverse
Domestic accident,adverse
Domestic injury,adverse
Injury in the home,adverse
Accident at work,adverse
Industrial accident,adverse
Injury at work,adverse
Accidental overdose,adverse
Accidental overdose (therapeutic agent),adverse
Drug overdose accidental,adverse
Drug toxicity due to accidental overdosage,adverse
Overdose accidental,adverse
Accidental overdose (nontherapeutic agent or chemical),adverse
Multiple drug overdose accidental,adverse
Accidental poisoning,adverse
Poisoning accidental,adverse
Abnormality of accommodation,adverse
Accommodation abnormal,adverse
Accommodation debility,adverse
Accommodation difficulty,adverse
Accommodation disorder,adverse
Accommodation disturbance,adverse
Accommodation paralysis,adverse
Accommodation spasm,adverse
Disorder accommodation,adverse
Disorders of accommodation,adverse
Disorders of refraction and accommodation,adverse
"Disorders of refraction and accommodation, other",adverse
Distance accommodation disorder,adverse
Other disorder of refraction and accommodation,adverse
Other disorders of refraction and accommodation,adverse
Paresis of accommodation,adverse
Pupillary accommodation disorder,adverse
Spasm of accommodation,adverse
Unspecified disorder of refraction and accommodation,adverse
Visual accommodation disturbance of,adverse
Inertia of accommodation,adverse
Acetabulum fracture,adverse
Closed fracture of acetabulum,adverse
Open fracture of acetabulum,adverse
Acetonaemia,adverse
Acetonemia,adverse
Ketonaemia absent,adverse
Ketonaemia present,adverse
Ketonemia absent,adverse
Ketonemia present,adverse
Ketonaemia,adverse
Ketonemia,adverse
Achlorhydria,adverse
Achylia gastrica,adverse
Hypochlorhydria,adverse
Acid base balance abnormal,adverse
Acid-base balance abnoraml,adverse
Acid-base balance disorder,adverse
Acid-base balance disorder mixed,adverse
Mixed acid-base balance disorder,adverse
Acidosis,adverse
Acidosis NOS,adverse
Acidemia,adverse
Acidaemia,adverse
Acidosis aggravated,adverse
Acute acidosis,adverse
Chronic acidosis,adverse
Acidosis hyperchloraemic,adverse
Acidosis hyperchloremic,adverse
Hyperchloraemic acidosis,adverse
Hyperchloremic acidosis,adverse
Acne,adverse
Acne aggravated,adverse
Acne comedonal,adverse
Acne follicular,adverse
Acne follicular papular pustular etc,adverse
Acne medicamentosa,adverse
Acne NOS,adverse
Acne papular,adverse
Acne steroid,adverse
Acne steroid-induced,adverse
Acne vulgaris,adverse
Blackheads,adverse
Comedo,adverse
Comedome,adverse
Comedone,adverse
Exacerbation of acne,adverse
Other acne,adverse
Pimple,adverse
Pimples,adverse
Steroid acne,adverse
Whiteheads,adverse
Acne follicular papular pustular etc.,adverse
Hormonal acne,adverse
Acne conglobata,adverse
Acne conglobate,adverse
Dissecting perifolliculitis of scalp,adverse
Dissecting cellulitis of scalp,adverse
Acne cosmetica,adverse
Acne cystic,adverse
Cystic acne,adverse
Acne infantile,adverse
Acne neonatorum,adverse
Infantile acne,adverse
Acne occupational,adverse
Acne pustular,adverse
Pustular acne,adverse
Acne varioliformis,adverse
Acoustic neurinoma,adverse
Acoustic neuroma,adverse
Acoustic schwannoma,adverse
Acoustic stimulation tests abnormal,adverse
Hearing test abnormal,adverse
Acquired afibrinogenaemia,adverse
Acquired afibrinogenemia,adverse
Acquired cardiac septal defect,adverse
Cardiac septal defect NOS acquired,adverse
Acquired hydrocele,adverse
Hydrocele (excl congenital),adverse
Acquired immune deficiency syndr,adverse
Acquired immune deficiency syndrome,adverse
Acquired immuno deficiency syndrome,adverse
Acquired immunodeficiency syndrome,adverse
"Acquired immunodeficiency syndrome, unspecified",adverse
AIDS,adverse
Acquired immunodeficiency syndrome NOS,adverse
Acquired tracheo-oesophageal fistula,adverse
Acquired tracheo-esophageal fistula,adverse
Acral lentiginous melanoma,adverse
Acral lentiginous melanoma stage unspecified,adverse
Subungual melanoma,adverse
Acral lentiginous melanoma stage I,adverse
Acral lentiginous melanoma stage II,adverse
Acral lentiginous melanoma stage III,adverse
Acral lentiginous melanoma stage IV,adverse
Acrochordon,adverse
Skin tags,adverse
Fibroma molle,adverse
Fibroepithelial polyp,adverse
Acrodermatitis chronica atrophicans,adverse
Acrodermatitis enteropathica,adverse
Acrodermatitis enterpatica,adverse
Enteropathic acrodermatitis,adverse
Acrodynia,adverse
Disease pink,adverse
Erythredema polyneuropathy,adverse
Bilderbeck's disease,adverse
Selter's disease,adverse
Swift disease,adverse
Swift-Feer disease,adverse
Feer's disease,adverse
Acromegaly,adverse
Acromegaly and gigantism,adverse
Acrophobia,adverse
ACTH-producing pituitary tumour,adverse
ACTH-producing pituitary tumor,adverse
Actinic keratosis,adverse
Senile keratosis,adverse
Solar keratosis,adverse
Hypertrophic actinic keratosis,adverse
Pigmented actinic keratosis,adverse
Actinic prurigo,adverse
Hutchinson's summer prurigo,adverse
Actinomycetomas,adverse
Actinomycosis,adverse
Actinomycotic granuloma,adverse
Actinomycotic infection of other specified sites,adverse
Actinomycotic infection of unspecified site,adverse
Actinomycotic infections,adverse
Abdominal actinomycotic infection,adverse
Actinomycotic abdominal infection,adverse
Actinomycotic pulmonary infection,adverse
Pulmonary actinomycotic infection,adverse
"Actinomycotic infection, cutaneous",adverse
Actinomycotic skin infection,adverse
Cervicofacial actinomycotic infection,adverse
Cutaneous actinomycotic infection,adverse
Activated partial thromboplastin time abnormal,adverse
Activated partial thromboplastin time abnormal NOS,adverse
Kaolin cephalin clotting time abnormal,adverse
Kaolin cephalin clotting time abnormal NOS,adverse
Activated partial thromboplastin time increased,adverse
Activated partial thromboplastin time prolonged,adverse
APTT increased,adverse
APTT prolonged,adverse
Kaolin cephalin clotting time prolonged,adverse
KCCT increased,adverse
Partial thromboplastin time prolonged,adverse
PTT prolonged,adverse
Activated partial thromboplastin time decreased,adverse
Activated partial thromboplastin time shortened,adverse
APTT decreased,adverse
Kaolin cephalin clotting time shortened,adverse
KCCT decreased,adverse
Partial thromboplastin time shortened,adverse
PTT shortened,adverse
Abdomen mimicking acute,adverse
Abdominal syndrome acute,adverse
Acute abdomen,adverse
Syndrome abdominal acute,adverse
Abdominal catastrophe,adverse
Acute disseminated encephalomyelitis,adverse
Perivenous encephalomyelitis,adverse
Acute fatty liver,adverse
Acute fatty liver of pregnancy,adverse
Acute febrile neutrophilic dermatosis,adverse
Sweet syndrome,adverse
Sweet's syndrome,adverse
Acute hepatic failure,adverse
Fulminant hepatic failure,adverse
Acute liver failure,adverse
Acute HIV infection,adverse
Acute human immunodeficiency virus type I infection,adverse
Acute infection with HIV,adverse
Primary HIV infection,adverse
HIV seroconversion illness,adverse
Acute retroviral syndrome,adverse
Acute HIV syndrome,adverse
Acute leukaemia,adverse
Acute leukaemia NOS,adverse
Acute leukaemia of unspecified cell type,adverse
Acute leukaemia unclassifiable,adverse
Acute leukemia,adverse
Acute leukemia NOS,adverse
Acute leukemia unclassifiable,adverse
Leukaemia acute,adverse
"Leukaemia of unspecified cell type, acute",adverse
Leukaemia stem cell,adverse
Leukemia acute,adverse
"Leukemia of unspecified cell type, acute",adverse
Leukemia stem cell,adverse
Acute leukemia of unspecified cell type,adverse
Acute lymphatic leukaemia,adverse
Acute lymphatic leukemia,adverse
Acute lymphoblastic leukaemia,adverse
Acute lymphoblastic leukemia,adverse
Acute lymphocytic leukaemia,adverse
Acute lymphocytic leukemia,adverse
Acute lymphoid leukaemia,adverse
Acute lymphoid leukemia without mention of remission,adverse
Leukemia lymphoblastic acute,adverse
"Lymphoid leukaemia, acute",adverse
"Lymphoid leukemia, acute",adverse
Receptor silent type acute leukaemia,adverse
Receptor silent type acute leukemia,adverse
Acute lymphoid leukaemia without mention of remission,adverse
Leukaemia lymphoblastic acute,adverse
Acute lymphoid leukemia,adverse
Philadelphia positive acute lymphocytic leukaemia,adverse
Philadelphia positive acute lymphocytic leukemia,adverse
Acute lymphocytic leukaemia (in remission),adverse
Acute lymphoid leukemia in remission,adverse
Acute lymphocytic leukemia (in remission),adverse
Acute lymphoid leukaemia in remission,adverse
Acute megakaryoblastic leukaemia,adverse
Acute megakaryocytic leukaemia,adverse
Acute megakaryocytic leukemia,adverse
Megakaryocytic leukemia without mention of remission,adverse
Megakaryocytic leukaemia,adverse
Megakaryocytic leukaemia NOS,adverse
Megakaryocytic leukemia,adverse
Megakaryocytic leukaemia without mention of remission,adverse
Acute megakaryoblastic leukemia,adverse
Acute monoblastic leukemia,adverse
Acute monocytic leukaemia,adverse
Acute monocytic leukemia,adverse
Acute monocytic leukemia without mention of remission,adverse
Leukemia monoblastic acute,adverse
"Monocytic leukaemia, acute",adverse
"Monocytic leukemia, acute",adverse
Acute monoblastic leukaemia,adverse
Acute monocytic leukaemia without mention of remission,adverse
Leukaemia monoblastic acute,adverse
Acute monocytic leukaemia (in remission),adverse
Acute monocytic leukemia in remission,adverse
Acute monocytic leukemia (in remission),adverse
Acute granulocytic leukaemia,adverse
Acute myeloblastic leukemia,adverse
Acute myeloid leukaemia,adverse
Acute myeloid leukaemia aggravat.,adverse
Acute myeloid leukaemia aggravated,adverse
Acute myeloid leukaemia NOS,adverse
Acute myeloid leukaemia with minimal differentiation,adverse
Acute myeloid leukemia,adverse
Acute myeloid leukemia with minimal differentiation,adverse
Acute myeloid leukemia without mention of remission,adverse
Leukaemia undifferentiated,adverse
Leukemia myeloblastic acute,adverse
Leukemia undifferentiated,adverse
"Myeloid leukaemia, acute",adverse
"Myeloid leukemia, acute",adverse
Non-lymphoblastic leukaemia acute,adverse
Non-lymphoblastic leukaemia NOS,adverse
Non-lymphoblastic leukemia acute,adverse
Non-lymphoblastic leukemia NOS,adverse
Acute myelocytic leukaemia,adverse
Acute myeloid leukemia aggravated,adverse
Acute myeloid leukemia NOS,adverse
Acute myeloblastic leukaemia,adverse
Acute myeloid leukaemia without mention of remission,adverse
Leukaemia myeloblastic acute,adverse
Acute granulocytic leukemia,adverse
Acute myelocytic leukemia,adverse
Treatment related acute myeloid leukemia,adverse
Treatment related acute myeloid leukaemia,adverse
AML progression,adverse
Acute myeloid leukemia progression,adverse
Acute myeloid leukaemia progression,adverse
Acute myeloid leukaemia (in remission),adverse
Acute myeloid leukemia in remission,adverse
Acute myeloid leukemia (in remission),adverse
Acute myeloid leukaemia in remission,adverse
Acute myelomonocytic leukaemia,adverse
Acute myelomonocytic leukemia,adverse
Acute myocardial infarction,adverse
"Acute myocardial infarction, of anterolateral wall",adverse
"Acute myocardial infarction, of inferolateral wall",adverse
"Acute myocardial infarction, of inferoposterior wall",adverse
"Acute myocardial infarction, of other anterior wall",adverse
"Acute myocardial infarction, of other inferior wall",adverse
"Acute myocardial infarction, of other lateral wall",adverse
"Acute myocardial infarction, of other specified sites",adverse
"Acute myocardial infarction, subendocardial infarction",adverse
"Acute myocardial infarction, true posterior wall infarction",adverse
"Acute myocardial infarction, unspecified site",adverse
Myocardial infarction acute,adverse
ST segment elevation myocardial infarction,adverse
STEMI,adverse
Non ST segment elevation myocardial infarction,adverse
Non STEMI,adverse
Acute antero septal myocardial infarction,adverse
Acute non-Q wave MI,adverse
"Acute myocardial infarction, of anterior wall",adverse
Acute myocardial reinfarction,adverse
Acute transmural myocardial infarction,adverse
Acute myocardial infarction type 1,adverse
Acute myocardial infarction type 2,adverse
Acute myocardial infarction type 3,adverse
Acute myocardial infarction type 4a,adverse
Acute myocardial infarction type 4b,adverse
Acute myocardial infarction type 5,adverse
Acute promyelocytic leukaemia,adverse
Acute promyelocytic leukemia,adverse
Acute delusional psychoses,adverse
Acute organic psychosis NOS,adverse
Acute psychosis,adverse
Acute psychotic reaction,adverse
Acute and transient psychotic disorder,adverse
Acute pulmonary histoplasmosis,adverse
Histoplasma capsulatum pneumonia,adverse
Histoplasma capsulatum pneumonitis acute,adverse
Histoplasma duboisii pneumonia,adverse
Histoplasmosis pneumonia,adverse
"Acute edema of lung, unspecified",adverse
"Acute oedema of lung, unspecified",adverse
Acute pulmonary edema,adverse
Acute pulmonary oedema,adverse
Flash pulmonary edema,adverse
Flash pulmonary oedema,adverse
A.R.D.S.,adverse
Acute respiratory distress syndrome,adverse
Adult RDS,adverse
Adult respiratory distress syndr,adverse
Adult respiratory distress syndrome,adverse
Adult respiratory stress syndrome,adverse
ARDS,adverse
Distress respiratory syndrome adults,adverse
Respiratory distress syndrome,adverse
Respiratory distress syndrome adult,adverse
Shock lung,adverse
Surfactant deficiency syndrome adult,adverse
Syndrome adult respiratory,adverse
Syndrome adult respiratory distress,adverse
Syndrome respiratory distress adult,adverse
Acute on chronic respiratory failure,adverse
Acute respiratory failure,adverse
Acute respiratory decompensation,adverse
Acute respiratory insufficiency,adverse
Type 3 (peri-operative) respiratory failure,adverse
Acute ethmoidal sinusitis,adverse
Acute frontal sinusitis,adverse
Acute maxillary sinusitis,adverse
Acute sinusitis,adverse
"Acute sinusitis, ethmoidal",adverse
"Acute sinusitis, maxillary",adverse
"Acute sinusitis, other",adverse
"Acute sinusitis, sphenoidal",adverse
"Acute sinusitis, unspecified",adverse
Acute sphenoidal sinusitis,adverse
Other acute sinusitis,adverse
Sinusitis acute NOS,adverse
Acute polysinusitis,adverse
Acute reaction to stress,adverse
"Acute reaction to stress, unspecified",adverse
Acute stress disorder,adverse
Acute stress reaction,adverse
Other acute reactions to stress,adverse
Predominant psychomotor disturbance,adverse
Unspecified acute reaction to stress,adverse
Adam-Stokes syndrome,adverse
Adams Stokes attack,adverse
Adams Stokes syndrome,adverse
Adams-Stokes syndrome,adverse
AV block complete with syncope,adverse
Morgagni's disease,adverse
Morgagni-Adam's Stokes syndrome,adverse
Spens' syndrome,adverse
Stokes Adams syndrome,adverse
Stokes-Adams syndrome,adverse
Syndrome Adams-Stokes,adverse
Syndrome Stokes-Adams,adverse
Addison's disease,adverse
Adrenocortical insufficiency chronic,adverse
Disease Addison's,adverse
Autoimmune adrenal insufficiency,adverse
Autoimmune adrenalitis,adverse
Adductor vocal cord weakness,adverse
Adenocarcinoma,adverse
Adenocarcinoma NOS,adverse
Disseminated adenocarcinoma,adverse
Mucinous carcinoma,adverse
Cystadenocarcinoma,adverse
Acinic cell carcinoma,adverse
Progression of adenocarcinoma,adverse
Oxyphilic adenocarcinoma,adverse
Carcinoma in adenoma,adverse
Adenocarcinoma gastric,adverse
Adenocarcinoma gastric in situ,adverse
Adenocarcinoma gastric recurrent,adverse
Adenocarcinoma gastric stage 0,adverse
Adenocarcinoma gastric stage I,adverse
Adenocarcinoma gastric stage II,adverse
Adenocarcinoma gastric stage III,adverse
Adenocarcinoma gastric stage IV NOS,adverse
Adenocarcinoma gastric stage IV with metastases,adverse
Adenocarcinoma gastric stage IV without metastases,adverse
Adenocarcinoma of the cardia,adverse
Adenocarcinoma of the cardia in situ,adverse
Adenocarcinoma of the cardia recurrent,adverse
Adenocarcinoma of the cardia stage 0,adverse
Adenocarcinoma of the cardia stage I,adverse
Adenocarcinoma of the cardia stage II,adverse
Adenocarcinoma of the cardia stage III,adverse
Adenocarcinoma of the cardia stage IV NOS,adverse
Colloid gastric carcinoma,adverse
Metastatic gastric adenocarcinoma,adverse
Mucinous adenocarcinoma gastric,adverse
Papillary adenocarcinoma gastric,adverse
Signet-ring cell adenocarcinoma gastric,adverse
Tubular adenocarcinoma gastric,adverse
Adenocarcinoma of colon,adverse
Adenocarcinoma of colon recurrent,adverse
Adenocarcinoma of colon stage I,adverse
Adenocarcinoma of colon stage II,adverse
Adenocarcinoma of colon stage III,adverse
Adenocarcinoma of colon stage IV,adverse
Adenocarcinoma of the colon stage 0,adverse
Mucinous adenocarcinoma of colon,adverse
