	id	Topic_Num	Topic_Perc_Contribu	Topic_Keywords	Origin_Text	Text
10	20340	0.0	0.2629	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Gender-Specific Mean and Standard Deviation of LV Mass, End-Diastolic Volume, Stroke Volume, Ejection Fraction, and Cardiac Output by Cardiac MRI in MESA Participants	['gender', 'specif', 'mean', 'standard', 'deviat', 'lv', 'mass', 'end', 'diastol', 'volum', 'stroke', 'volum', 'eject', 'fraction', 'cardiac', 'output', 'cardiac', 'mri', 'mesa', 'particip']
11	31917	0.0	0.2615	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Results of Multiple Logistic Regression Analysis: Final Significant Variables in Equation Using Forward Stepwise Selection  (Wald)	['result', 'multipl', 'logist', 'regress', 'analysi', 'final', 'signific', 'variabl', 'equat', 'forward', 'stepwis', 'select', 'wald']
12	19970	0.0	0.2607	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Multivariable Cox Proportional Regression Analysis Showing Significant Predictors of Outcome  (Death, Heart Transplant, or Left Ventricular Assist Device Implantation)  in Cardiac Resynchronization Therapy Patients	['multivari', 'cox', 'proport', 'regress', 'analysi', 'show', 'signific', 'predictor', 'outcom', 'death', 'heart', 'transplant', 'leav', 'ventricular', 'assist', 'devic', 'implant', 'cardiac', 'therapi', 'patient']
13	39564	0.0	0.2579	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Multiple regression analysis using Cox's proportional hazards model to determine the influence of individual variables on survival in hypopituitarism	['multipl', 'regress', 'analysi', 'cox', 'proport', 'hazard', 'model', 'determin', 'influenc', 'individu', 'variabl', 'surviv', 'hypopituitar']
14	11779	0.0	0.2579	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	ORs and RRs  (95% Confidence Intervals)  for Other Correlates of Preserved Left Ventricular Systolic Function in Order of Entry Into the Full Logistic Model	['or', 'rrs', 'confid', 'interv', 'correl', 'preserv', 'leav', 'ventricular', 'systol', 'function', 'order', 'entri', 'logist', 'model']
15	34215	0.0	0.2575	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Multiple Regression Analysis of Variables Associated With CD40L Levels; Entire Model  (Regression Summary for Dependent Variable: R2= 0.60, F = 5.58; p < 0.00005)  and Final Model With Stepwise Method	['multipl', 'regress', 'analysi', 'variabl', 'associ', 'cd', 'level', 'entir', 'model', 'regress', 'summari', 'depend', 'variabl', 'final', 'model', 'stepwis', 'method']
16	48923	0.0	0.2573	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Final multivariable Cox proportional hazards model of time to first late seizure in the derivation cohort	['final', 'multivari', 'cox', 'proport', 'hazard', 'model', 'time', 'late', 'seizur', 'deriv', 'cohort']
17	42229	0.0	0.2567	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Univariate and Multivariate Linear Model of Left Ventricular End-Diastolic Volume Index in 113 Patients With CHF legend	['univari', 'multivari', 'linear', 'model', 'leav', 'ventricular', 'end', 'diastol', 'volum', 'index', 'patient', 'chf']
18	5713	0.0	0.2566	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Logistic Regression Multivariate Independent Predictors of Spontaneous Conversion to Sinus Rhythm	['logist', 'regress', 'multivari', 'independ', 'predictor', 'spontan', 'convers', 'sinus', 'rhythm']
19	42436	0.0	0.2542	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Table of Regression Coefficients From a Multivariate Linear Regression Model for LV Mass-to-Volume Ratio	['regress', 'coeffici', 'multivari', 'linear', 'regress', 'model', 'lv', 'mass', 'volum', 'ratio']
20	11796	0.0	0.2539	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Univariate and Multivariate Cox Proportional Hazard Analyses for the Identification of Patients With Chronic Heart Failure at Risk for Cardiac Events	['univari', 'multivari', 'cox', 'proport', 'hazard', 'analys', 'identif', 'patient', 'chronic', 'heart', 'failur', 'risk', 'cardiac', 'event']
21	32882	0.0	0.2537	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Variables Independently Associated With In-Hospital Mortality Adjusted by Risk in a Multivariable Logistic Regression Model and a Multilevel Model, With Odds Ratio and 95% Confidence Intervals for Each Variable	['variabl', 'independ', 'associ', 'hospit', 'mortal', 'adjust', 'risk', 'multivari', 'logist', 'regress', 'model', 'multilevel', 'model', 'odd', 'ratio', 'confid', 'interv', 'variabl']
22	36842	0.0	0.253	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Cox proportional hazards regression model for individual factors affecting graft failure in first-time recipients of kidneys from cardiac-death donors, adjusted for age of donors and recipients, and cold ischaemic time	['cox', 'proport', 'hazard', 'regress', 'model', 'individu', 'factor', 'affect', 'graft', 'failur', 'time', 'recipi', 'kidney', 'cardiac', 'death', 'donor', 'adjust', 'age', 'donor', 'recipi', 'cold', 'ischaem', 'time']
23	11298	0.0	0.2523	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Final Multivariable Cox Proportional Hazards Model  (Global Chi-Square of the Model = 1,146.1, p < 0.001)	['final', 'multivari', 'cox', 'proport', 'hazard', 'model', 'global', 'chi', 'squar', 'model']
24	4385	0.0	0.252	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Multivariate Stepwise Cox Regression Analysis of Potential Risk Variables in Order to Detect Independent Predictors of Cardiac Death or Acute Myocardial Infarction at 30 Days legend	['multivari', 'stepwis', 'cox', 'regress', 'analysi', 'potenti', 'risk', 'variabl', 'order', 'detect', 'independ', 'predictor', 'cardiac', 'death', 'acut', 'myocardi', 'infarct', 'day']
25	4501	0.0	0.2513	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Intervals Measured During Ventricular Tachycardia, Responses to Pacing During Ventricular Tachycardia and Sinus Rhythm and Presence of Isolated Diastolic Potential During Sinus Rhythm	['interv', 'measur', 'ventricular', 'tachycardia', 'respons', 'pace', 'ventricular', 'tachycardia', 'sinus', 'rhythm', 'presenc', 'isol', 'diastol', 'potenti', 'sinus', 'rhythm']
26	42079	0.0	0.2513	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Impact of Congestive Heart Failure on Mortality: Results of Multivariable Cox Proportional Hazards Regression Models legend	['impact', 'congest', 'heart', 'failur', 'mortal', 'result', 'multivari', 'cox', 'proport', 'hazard', 'regress', 'model']
27	42977	0.0	0.25	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Multivariable Analysis for Independent Predictors of Survival in HFpEF Patients  (Cox Proportional Hazard Model)	['multivari', 'analysi', 'independ', 'predictor', 'surviv', 'hfpef', 'patient', 'cox', 'proport', 'hazard', 'model']
28	42556	0.0	0.25	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Multiple Linear Regression Analysis Assessing the Independent Influence of Different Variables on Natriuretic Peptides	['multipl', 'linear', 'regress', 'analysi', 'assess', 'independ', 'influenc', 'differ', 'variabl', 'natriuret', 'peptid']
29	20372	0.0	0.25	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Multiple Regression Analysis of the Relationship Between Left Ventricular Mass Index and Other Variables for the Entire Group	['multipl', 'regress', 'analysi', 'relationship', 'leav', 'ventricular', 'mass', 'index', 'variabl', 'entir', 'group']
30	36841	0.0	0.2496	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Cox proportional hazards regression model for graft failure in first-time recipients of kidneys from cardiac-death donors, adjusted for age of donors and recipients, and cold ischaemic time	['cox', 'proport', 'hazard', 'regress', 'model', 'graft', 'failur', 'time', 'recipi', 'kidney', 'cardiac', 'death', 'donor', 'adjust', 'age', 'donor', 'recipi', 'cold', 'ischaem', 'time']
31	31099	0.0	0.2492	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Partial Correlation Coefficients  (r) , Controlled for Age, of Body Size, Body Composition and Blood Pressure With Unindexed and Indexed Left Ventricular Mass  (LVM)	['partial', 'correl', 'coeffici', 'control', 'age', 'bodi', 'size', 'bodi', 'composit', 'blood', 'pressur', 'unindex', 'index', 'leav', 'ventricular', 'mass', 'lvm']
32	30663	0.0	0.2491	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Multiple Linear Regression Analysis Results With Augmentation Index as the Dependent Variable  a	['multipl', 'linear', 'regress', 'analysi', 'result', 'augment', 'index', 'depend', 'variabl']
33	7980	0.0	0.2482	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Multivariate Cox Proportional Hazards Regression Model of Significant Predictors of Death or Heart Failure	['multivari', 'cox', 'proport', 'hazard', 'regress', 'model', 'signific', 'predictor', 'death', 'heart', 'failur']
34	9204	0.0	0.2475	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Results of Multivariable Modeling: Hazard Ratios, 95% Confidence Intervals and p Values for Significant Multivariable Predictors of Outcome in Models That Incorporate Echocardiographic, Clinical and Hemodynamic Variables	['result', 'multivari', 'model', 'hazard', 'ratio', 'confid', 'interv', 'valu', 'signific', 'multivari', 'predictor', 'outcom', 'model', 'incorpor', 'clinic', 'hemodynam', 'variabl']
35	20416	0.0	0.2471	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Differences Among End-Diastolic Volume, End-Systolic Volume, Ejection Fraction and Left Ventricular Mass as Revealed on Cine MRI and Real-Time MRI legend	['differ', 'end', 'diastol', 'volum', 'end', 'systol', 'volum', 'eject', 'fraction', 'leav', 'ventricular', 'mass', 'reveal', 'cine', 'mri', 'real', 'time', 'mri']
36	7301	0.0	0.2471	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Analysis of Significance and Prognostic Value of End-Diastolic Volume, Stroke Volume, Left Ventricular Ejection Fraction and Heart Rate Obtained During Dobutamine Infusion  a	['analysi', 'signific', 'prognost', 'valu', 'end', 'diastol', 'volum', 'stroke', 'volum', 'leav', 'ventricular', 'eject', 'fraction', 'heart', 'rate', 'obtain', 'dobutamin', 'infus']
37	32400	0.0	0.2464	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Multivariate Logistic Regression Analyses to Assess the Predictive Value of Electrocardiographic Strain for the Presence of LVH, Abnormal LV Geometry and Abnormal LV Midwall Function in Patients With and Without Evident CHD    legend	['multivari', 'logist', 'regress', 'analys', 'assess', 'predict', 'valu', 'strain', 'presenc', 'lvh', 'abnorm', 'lv', 'geometri', 'abnorm', 'lv', 'midwal', 'function', 'patient', 'evid', 'chd']
38	28817	0.0	0.24600000000000002	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Final Multivariable Cox Regression Model of Predictors of Death Among 1,953 Children With DCM Not Undergoing Heart Transplantation	['final', 'multivari', 'cox', 'regress', 'model', 'predictor', 'death', 'children', 'dcm', 'undergo', 'heart', 'transplant']
39	42978	0.0	0.24600000000000002	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Multivariable Analysis for Independent Predictors of Survival in HFpEF Patients With CAD  (Cox Proportional Hazard Model)	['multivari', 'analysi', 'independ', 'predictor', 'surviv', 'hfpef', 'patient', 'cad', 'cox', 'proport', 'hazard', 'model']
40	39643	0.0	0.24600000000000002	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Cox proportional hazard analysis for the effect of covariates on survival in patients with chronic heart failure  (SOLVD)	['cox', 'proport', 'hazard', 'analysi', 'effect', 'covari', 'surviv', 'patient', 'chronic', 'heart', 'failur', 'solvd']
41	30530	0.0	0.24600000000000002	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Multiple Linear Regression Analysis of Clinical and Hemodynamic Variables and Follow-Up Left Ventricular Ejection Fraction  legend	['multipl', 'linear', 'regress', 'analysi', 'clinic', 'hemodynam', 'variabl', 'follow', 'leav', 'ventricular', 'eject', 'fraction']
42	17885	0.0	0.24600000000000002	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Odds Ratios  (With 95% Confidence Intervals)  for Univariate Predictors of Mortality and for Those Same Predictors Together With Log10Troponin in Bivariate Models	['odd', 'ratio', 'confid', 'interv', 'univari', 'predictor', 'mortal', 'predictor', 'log', 'troponin', 'bivari', 'model']
43	24732	0.0	0.2457	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Multivariate Cox Proportional Hazards Models for Prediction of Time to Recurrence legend	['multivari', 'cox', 'proport', 'hazard', 'model', 'predict', 'time', 'recurr']
44	31390	0.0	0.2457	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Univariate and Multivariate Analysis of Predictive Variables for log Vo 2max/kg2/3	['univari', 'multivari', 'analysi', 'predict', 'variabl', 'log', 'vo', 'max']
45	43635	0.0	0.2448	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Cox Proportional Hazard Models for MR-proANP and NT-proBNP to Predict Survival in Different Subgroups of Patients With Chronic Heart Failure  (Derivation and Validation Samples Combined)	['cox', 'proport', 'hazard', 'model', 'mr', 'proanp', 'nt', 'probnp', 'predict', 'surviv', 'differ', 'subgroup', 'patient', 'chronic', 'heart', 'failur', 'deriv', 'valid', 'sampl', 'combin']
46	33805	0.0	0.2425	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Computer Directed and Clinically Directed Stepwise Multiple Logistic Regression and Cox Proportion Hazard Analysis of Determinants of Hard Events in Medically Treated Patients legend	['direct', 'clinic', 'direct', 'stepwis', 'multipl', 'logist', 'regress', 'cox', 'proport', 'hazard', 'analysi', 'determin', 'hard', 'event', 'medic', 'treat', 'patient']
47	40905	0.0	0.2421	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Multivariate analysis of predictors of ventricular tachycardia, sudden death, and atrial flutter/fibrillation after repair of tetralogy of Fallot	['multivari', 'analysi', 'predictor', 'ventricular', 'tachycardia', 'sudden', 'death', 'atrial', 'flutter', 'fibril', 'repair', 'tetralog', 'fallot']
48	28816	0.0	0.2421	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Unadjusted Cox Proportional Hazards Regression Analysis of Predictors of Death Among 1,953 Children With DCM Not Undergoing Heart Transplantation	['unadjust', 'cox', 'proport', 'hazard', 'regress', 'analysi', 'predictor', 'death', 'children', 'dcm', 'undergo', 'heart', 'transplant']
49	23679	0.0	0.2415	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Multivariate Cox Regression Analyses for Peak Vo 2and Ve/Vco 2Slope	['multivari', 'cox', 'regress', 'analys', 'peak', 'vo', 've', 'vco', 'slope']
50	21319	1.0	0.3755	number, effect, estim, case, women, level, intervent, health, total, region	Potential effect of the internet on physical activity interventions  (based on effect estimates from web-based physical activity interventions and other physical activity interventions)  and the potential effect of mobile phones on physical activity interventions  (based on effect estimates from telephone-based physical activity interventions and from other physical activity interventions) , by country income	['potenti', 'effect', 'internet', 'physic', 'activ', 'intervent', 'base', 'effect', 'estim', 'web', 'base', 'physic', 'activ', 'intervent', 'physic', 'activ', 'intervent', 'potenti', 'effect', 'mobil', 'phone', 'physic', 'activ', 'intervent', 'base', 'effect', 'estim', 'telephon', 'base', 'physic', 'activ', 'intervent', 'physic', 'activ', 'intervent', 'countri', 'incom']
51	37917	1.0	0.3733	number, effect, estim, case, women, level, intervent, health, total, region	Analysis of trends from 19992002 and 200306 for government health expenditure as source  (GHE-S) ; share of general government expenditure spent on health  (GHE-S/GGE) ; share of gross domestic product  (GDP)  spent by government  (GGE/GDP) ; and GDP	['analysi', 'trend', 'govern', 'health', 'expenditur', 'sourc', 'ghe', 'share', 'general', 'govern', 'expenditur', 'spend', 'health', 'ghe', 'gge', 'share', 'gross', 'domest', 'product', 'gdp', 'spend', 'govern', 'gge', 'gdp', 'gdp']
52	21038	1.0	0.3677	number, effect, estim, case, women, level, intervent, health, total, region	Changes between 2012 and 2017 in the modern contraceptive prevalence rate  (mCPR) , unmet need for modern methods, demand satisfied with modern methods, and the number of women of reproductive age who are married or in a union using modern methods of contraception	['chang', 'modern', 'contracept', 'preval', 'rate', 'mcpr', 'unmet', 'need', 'modern', 'method', 'demand', 'satisfi', 'modern', 'method', 'number', 'women', 'reproduct', 'age', 'marri', 'union', 'modern', 'method', 'contracept']
53	32237	1.0	0.3461	number, effect, estim, case, women, level, intervent, health, total, region	Postprandial Changes of Nitrates/Nitrites, Lipoperoxides, and 8-epi Prostaglandin Plasma Levels After the Ingestion of a Phenol-Rich Olive Oil Meal  (400 ppm)  as Compared to a Low Phenol Olive Oil Meal  (80 ppm)	['postprandi', 'chang', 'nitrat', 'nitrit', 'lipoperoxid', 'epi', 'prostaglandin', 'plasma', 'level', 'ingest', 'phenol', 'rich', 'oliv', 'oil', 'meal', 'ppm', 'compar', 'low', 'phenol', 'oliv', 'oil', 'meal', 'ppm']
54	16272	1.0	0.3225	number, effect, estim, case, women, level, intervent, health, total, region	Analysis of association between receipt of financial assistance from Janani Suraksha Yojana and intervention coverage and health outcomes by use of two analytical approaches by high-focus, northeast, and non-high-focus states	['analysi', 'associ', 'receipt', 'financi', 'assist', 'janani', 'suraksha', 'yojana', 'intervent', 'coverag', 'health', 'outcom', 'use', 'analyt', 'approach', 'high', 'focus', 'northeast', 'non', 'high', 'focus', 'state']
55	13849	1.0	0.322	number, effect, estim, case, women, level, intervent, health, total, region	Number  (millions)  of women with an unmet need for modern methods and proportion of those wanting to avoid pregnancy with unmet need for modern methods, by region and subregion and by country income, in 2003, 2008, and 2012	['number', 'million', 'women', 'unmet', 'need', 'modern', 'method', 'proport', 'want', 'avoid', 'pregnanc', 'unmet', 'need', 'modern', 'method', 'region', 'subregion', 'countri', 'incom']
56	21629	1.0	0.319	number, effect, estim, case, women, level, intervent, health, total, region	Aggregate official development assistance to maternal, newborn, and child health, to child health per child, and to maternal and newborn health per livebirth in 2005 and 2006, and percentage change for the two categories between 2003 and 2006	['aggreg', 'offici', 'develop', 'assist', 'matern', 'newborn', 'child', 'health', 'child', 'health', 'child', 'matern', 'newborn', 'health', 'livebirth', 'percentag', 'chang', 'categori']
57	16264	1.0	0.3172	number, effect, estim, case, women, level, intervent, health, total, region	Official development assistance to child health per child and to maternal and neonatal health per livebirth, total to maternal, newborn, and child health in 2007 and 2008, and trends statistics, 200308	['offici', 'develop', 'assist', 'child', 'health', 'child', 'matern', 'neonat', 'health', 'livebirth', 'total', 'matern', 'newborn', 'child', 'health', 'trend', 'statist']
58	16263	1.0	0.3147	number, effect, estim, case, women, level, intervent, health, total, region	Official development assistance to maternal, newborn, and child health by aid modality and project purpose for the 68 Countdown priority countries, 200308	['offici', 'develop', 'assist', 'matern', 'newborn', 'child', 'health', 'aid', 'modal', 'project', 'purpos', 'countdown', 'prioriti', 'countri']
59	22093	1.0	0.3112	number, effect, estim, case, women, level, intervent, health, total, region	Official development assistance to maternal, newborn, and child health to the 74 Countdown priority countries by type of aid and purpose of projects between 2003 and 2010	['offici', 'develop', 'assist', 'matern', 'newborn', 'child', 'health', 'countdown', 'prioriti', 'countri', 'type', 'aid', 'purpos', 'project']
60	12388	1.0	0.3109	number, effect, estim, case, women, level, intervent, health, total, region	Effects of varying selected assumptions on the estimated additional annual running costs of providing child survival interventions at universal coverage, from reported levels in 2000  (US$5134 million)	['effect', 'vari', 'select', 'assumpt', 'estim', 'addit', 'annual', 'run', 'cost', 'provid', 'child', 'surviv', 'intervent', 'univers', 'coverag', 'report', 'level', 'million']
61	37918	1.0	0.3095	number, effect, estim, case, women, level, intervent, health, total, region	Time-series cross-sectional regression results for government health expenditure as source  (GHE-S)  as a share of gross domestic product  (GDP)  for countries in Global Burden of Disease developing regions based on the Arellano-Bover/Blundell-Bond model	['time', 'seri', 'cross', 'section', 'regress', 'result', 'govern', 'health', 'expenditur', 'sourc', 'ghe', 'share', 'gross', 'domest', 'product', 'gdp', 'countri', 'global', 'burden', 'diseas', 'develop', 'region', 'base', 'arellano', 'bover', 'blundel', 'bond', 'model']
62	21037	1.0	0.3047	number, effect, estim, case, women, level, intervent, health, total, region	Modern contraceptive prevalence rate  (mCPR) , unmet need for modern methods, and demand satisfied with modern methods in 2017 for 68 Family Planning 2020 countries	['modern', 'contracept', 'preval', 'rate', 'mcpr', 'unmet', 'need', 'modern', 'method', 'demand', 'satisfi', 'modern', 'method', 'famili', 'plan', 'countri']
63	17087	1.0	0.304	number, effect, estim, case, women, level, intervent, health, total, region	Numbers and incident rate ratios for recorded referrals and identifications of women experiencing domestic violence in general practice and domestic violence referrals received by specialist agencies, 12 months after intervention	['number', 'incid', 'rate', 'ratio', 'record', 'referr', 'identif', 'women', 'experi', 'domest', 'violenc', 'general', 'practic', 'domest', 'violenc', 'referr', 'receiv', 'specialist', 'agenc', 'month', 'intervent']
64	13847	1.0	0.3008	number, effect, estim, case, women, level, intervent, health, total, region	Number  (millions)  of women using modern methods and proportion of those wanting to avoid pregnancy using modern methods, by region and subregion and by country income in 2003, 2008, and 2012	['number', 'million', 'women', 'modern', 'method', 'proport', 'want', 'avoid', 'pregnanc', 'modern', 'method', 'region', 'subregion', 'countri', 'incom']
65	12386	1.0	0.3008	number, effect, estim, case, women, level, intervent, health, total, region	Estimated annual running costs of providing preventive interventions for child survival at 2000 coverage levels and universal coverage levels	['estim', 'annual', 'run', 'cost', 'provid', 'prevent', 'intervent', 'child', 'surviv', 'coverag', 'level', 'univers', 'coverag', 'level']
66	6761	1.0	0.2994	number, effect, estim, case, women, level, intervent, health, total, region	Antipneumococcal IgG antibody responses 1 month after booster vaccination with PHiD-CV and DTPa-HBV-IPV/Hib with or without prophylactic administration of paracetamol  (ATP immunogenicity cohort)	['igg', 'antibodi', 'respons', 'month', 'booster', 'vaccin', 'phid', 'cv', 'dtpa', 'hbv', 'ipv', 'hib', 'prophylact', 'administr', 'paracetamol', 'atp', 'immunogen', 'cohort']
67	16261	1.0	0.299	number, effect, estim, case, women, level, intervent, health, total, region	Official development assistance to maternal, newborn, and child health by type and source of aid flow for the 68 Countdown priority countries, 200308	['offici', 'develop', 'assist', 'matern', 'newborn', 'child', 'health', 'type', 'sourc', 'aid', 'flow', 'countdown', 'prioriti', 'countri']
68	17048	1.0	0.2973	number, effect, estim, case, women, level, intervent, health, total, region	Health service resource use: mean  (SD)  resource use per patient and unit costs of resource items by type of care  (UK, 2009 prices)	['health', 'servic', 'resourc', 'use', 'mean', 'sd', 'resourc', 'use', 'patient', 'unit', 'cost', 'resourc', 'item', 'type', 'care', 'uk', 'price']
